question,true_answer,model_1_answer,model_2_answer,model_1_correct,model_2_correct
What company did Beyoncé's father work for when she was a child?,xerox,xerox,xerox,True,True
What did Beyoncé's mother own when Beyoncé was a child?,salon,salon,salon,True,True
What is the name of Beyoncé's younger sister?,solange,solange,solange,True,True
Beyoncé is a descendant of which Acadian leader?,joseph broussard.,joseph broussard,joseph broussard,False,False
Beyoncé was raised in what religion?,methodist,methodist,methodist,True,True
What town did Beyonce go to school in?,fredericksburg,fredericksburg,fredericksburg,True,True
Who was the first person to notice Beyonce's singing ability?,darlette johnson,darlette johnson,darlette johnson,True,True
Beyonce moved to which town after she left her first elementary school?,houston,fredericksburg,houston,False,True
Which of her teachers discovered Beyonce's musical talent?,dance instructor darlette johnson,darlette johnson,darlette johnson,False,False
I which church was Beyonce a member and soloist in the choir?,st. john's united methodist church,st. john's united methodist church,st. john's united methodist church,True,True
What type of school was Parker Elementary School?,music magnet school,music magnet,music magnet,False,False
Which song did Beyonce sing to win a competition at age 7?,imagine,imagine,imagine,True,True
What city was Beyoncé's elementary school located in?,fredericksburg,fredericksburg,fredericksburg,True,True
What was the name of Beyoncé's first dance instructor?,darlette johnson,darlette johnson,darlette johnson,True,True
How old was Beyoncé when she won a school talent show?,seven,seven,seven,True,True
What choir did Beyoncé sing in for two years?,st. john's united methodist church,st. john's united methodist church,st. john's united methodist church,True,True
Who decided to place Beyonce's group in Star Search the talent show?,arne frager,arne frager,arne frager,True,True
"In 1995, who decided to manage the girls singing group?",beyoncé's father,beyoncé's father,beyoncé's father,True,True
Who was the first record label to give the girls a record deal?,elektra records,elektra records,elektra records,True,True
Who brought Beyonce to California and enter her group in Star Search?,arne frager,arne frager,arne frager,True,True
In what year did Beyonce's father quit his job to manage her group?,1995,1995,1995,True,True
What large record company recorded Beyonce's group's first album?,sony music,sony music,sony music,True,True
What record company first signed Beyonce's group and later cut them?,elektra records,elektra records,elektra records,True,True
At what age did Beyonce meet LaTavia Robertson?,age eight,eight,eight,False,False
How old was Beyoncé when she met LaTavia Roberson?,eight,eight,eight,True,True
What was the name of the first group Beyoncé was a part of?,girl's tyme,girl's tyme,girl's tyme,True,True
Who placed Girl's Tyme in Star Search?,arne frager,arne frager,arne frager,True,True
When did Beyoncé begin to manage the girl group?,1995,1995,1995,True,True
"Who signed the girl group on October 5, 1995?",dwayne wiggins's grass roots entertainment,dwayne wiggins's grass roots entertainment,grass roots entertainment,True,False
Which film featured Destiny's Child's first major single?,men in black,men in black,men in black,True,True
"For which song, did Destiny's Child take home the grammy award for best R&B performance?","""say my name""",say my name,say my name,False,False
"Who did Beyonce record with for the movie ""The Best Man?""",marc nelson,marc nelson,marc nelson,True,True
Beyonce's group changed their name to Destiny's Child in what year?,1996,1996,1996,True,True
The name Destiny's Child was based on a quote in which book of the Bible?,book of isaiah,book of isaiah,book of isaiah,True,True
"Debut song, ""Killing Time"" was featured on what movie's sound track?",men in black,men in black,men in black,True,True
What song won Best R&B Performance in the 43 Annual Grammy Awards?,say my name,say my name,say my name,True,True
"What singer did Beyonce record a song with for the movie, ''The Best Man""?",marc nelson,marc nelson,marc nelson,True,True
Where did Destiny's Child get their name from?,book of isaiah.,book of isaiah,book of isaiah,False,False
"Destiny's Child song, Killing Time, was included in which film's soundtrack?",men in black.,men in black,men in black,False,False
What was Destiny's Child's first major song hit?,"no, no, no","no, no, no","no, no, no",True,True
When did Destiny's Child release their second album?,1999,1999,1999,True,True
"Who did Beyoncé sing a duet with for ""The Best Man"" film?",marc nelson,marc nelson,marc nelson,True,True
What mental health issue did Beyonce go through?,depression,depression,depression,True,True
What event occured after she was publicly criticized?,boyfriend left her,depression,her long-standing boyfriend left her,False,False
Who supported Beyonce through her depression?,her mother,her mother,her mother,True,True
What event caused Beyonce's depression?,split with luckett and rober,the split,split,False,False
How long was Beyonce depressed?,a couple of years,a couple of years,a couple of years,True,True
Who helped Beyonce fight her depression the most?,her mother,her mother,her mother,True,True
Who replaced Luckett and Roberson in Destiny's Child?,farrah franklin and michelle williams.,farrah franklin and michelle williams,farrah franklin and michelle williams,False,False
Who was blamed for Luckett and Roberson leaving Destiny's Child?,beyoncé,beyoncé,beyoncé,True,True
Who helped Beyoncé overcome her depression during the years following the Destiny's Child split?,her mother,her mother,her mother,True,True
Which newest member was removed from Destiny's Child?,farrah franklin,farrah franklin and michelle williams,farrah franklin,False,True
"""Charlie's Angels"" featured which single from the band members?",independent women part i,independent women part i,independent women part i,True,True
